127.0.0.1 - - [13/Jul/2018:11:09:01 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:04 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:04 +0900] "GET /sample-web/css/style.css HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:04 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:07 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:07 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:07 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:07 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:18 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:18 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:18 +0900] "GET /sample-web/css/style.css HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:18 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:27 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:09:27 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 200 1168307
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:10:02 +0900] "GET /sample-web/ProductDetailsAction.action?productId=2 HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:10:02 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:10:02 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:10:44 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:10:44 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:10:44 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:10:44 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:19:52 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:19:52 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:19:52 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:19:52 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:19:54 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:19:54 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 304 -
