127.0.0.1 - - [15/Aug/2018:09:48:42 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:45 +0900] "GET /glanq/ HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:45 +0900] "GET /glanq/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:48 +0900] "GET /glanq/HomeAction HTTP/1.1" 200 9045
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:48 +0900] "GET /glanq/css/home.css HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:48 +0900] "GET /glanq/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:49 +0900] "GET /glanq/images/yakiniku3.jpg HTTP/1.1" 200 26436
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:49 +0900] "GET /glanq/images/yakiniku1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:49 +0900] "GET /glanq/images/yakiniku2.jpg HTTP/1.1" 200 154455
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:49 +0900] "GET /glanq/images/basyo2.jpg HTTP/1.1" 200 519500
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:49 +0900] "GET /glanq/images/basyo3.jpg HTTP/1.1" 200 309231
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:48:49 +0900] "GET /glanq/images/basyo1.jpg HTTP/1.1" 200 4545408
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:03 +0900] "POST /glanq/GoLoginAction HTTP/1.1" 200 6082
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:07 +0900] "POST /glanq/CreateUserAction.action HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:07 +0900] "GET /glanq/js/form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:07 +0900] "GET /glanq/css/createUser.css HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:27 +0900] "GET /glanq/CreateUserAction.action HTTP/1.1" 200 6293
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:27 +0900] "GET /glanq/css/createUser.css HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:27 +0900] "GET /glanq/css/style.css HTTP/1.1" 200 5707
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:27 +0900] "GET /glanq/js/form.js HTTP/1.1" 200 4850
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:49:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:50:01 +0900] "GET /glanq/CreateUserAction.action HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:50:31 +0900] "GET /glanq/CreateUserAction.action HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:51:46 +0900] "GET /glanq/CreateUserAction.action HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:52:02 +0900] "POST /glanq/CreateUserAction.action HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:52:02 +0900] "GET /glanq/css/createUser.css HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:52:02 +0900] "GET /glanq/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:52:02 +0900] "GET /glanq/js/form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:52:17 +0900] "GET /glanq/CreateUserAction.action HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:53:10 +0900] "GET /glanq/CreateUserAction.action HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:53:19 +0900] "POST /glanq/CreateUserAction.action HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:53:19 +0900] "GET /glanq/css/createUser.css HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:53:19 +0900] "GET /glanq/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:53:19 +0900] "GET /glanq/js/form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:55:11 +0900] "POST /glanq/CreateUserAction.action HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:55:11 +0900] "GET /glanq/css/createUser.css HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [15/Aug/2018:09:55:11 +0900] "GET /glanq/css/style.css HTTP/1.1" 304 -
